NUTS_CODE,NUTS_BN_CODE
TRB12,1
TRB12,2
TR521,3
TR712,4
TR715,5
PT170,10
EL644,11
EL644,12
TR332,14
TRB14,15
TRB13,16
TR412,17
EL644,18
TR333,19
TRB11,20
TRB11,21
EL643,22
EL643,23
EL631,24
EL631,25
ITF63,29
ITF63,30
TR521,31
TR521,32
TR333,33
TR412,34
EL643,35
PT186,36
EL644,37
EL644,38
PT186,41
EL542,43
TR723,44
TR722,45
ES422,46
TR715,48
TR310,49
TR331,50
TR331,51
TR331,52
TRB22,53
TRB21,54
ES431,58
ES431,59
ES432,60
TR715,61
TR723,62
ES423,63
ES523,64
ITG2F,65
PT185,66
TRB22,67
TRB22,68
ES423,69
PT185,70
PT185,71
ITF62,72
EL543,75
EL611,76
TRB14,77
TRB14,78
TRB13,79
TRB13,80
TRB13,81
EL432,100
EL434,103
EL433,105
EL433,106
TR622,117
TR611,124
ES615,132
TRC11,138
TRC11,139
TR323,140
TRC13,142
ES618,145
ES618,146
ES617,147
TR323,148
TR631,149
TR633,150
TR633,151
ITG18,152
TR622,153
ITG18,156
ITG19,157
ES617,160
TRC11,161
ES618,162
ES617,163
TR611,165
ITG17,166
TR622,167
TR613,168
ITG19,169
ES614,178
TR612,179
TR611,180
TR713,181
TR622,182
TRC21,184
TRC21,185
PT181,187
TR323,189
TR323,190
EL653,191
EL653,192
TRC11,193
TRC12,194
TR323,195
PT184,196
PT184,197
ES615,198
TRC31,199
EL307,202
ITG16,203
TR522,204
TRC33,205
TRC33,206
ITG15,207
ITG15,208
TRC33,209
TRC31,210
TRC32,211
TR633,213
TR633,214
TR633,215
ITG14,216
ITG14,217
ITG14,218
TR322,219
TR332,220
TR613,221
TR713,222
TRC34,225
TRC34,226
TRC33,227
TRB24,229
ITG17,231
ITG17,232
EL652,233
ITG16,234
ITG16,235
EL651,239
EL651,240
TRC34,244
TRC34,245
ES614,246
ES620,247
EL305,248
TRC12,249
ES618,250
ES618,251
EL305,254
EL304,255
EL304,256
TR713,258
TRC21,261
TRC22,262
ITG13,264
ES620,266
ITG12,268
EL303,269
EL303,270
EL306,271
EL306,272
EL302,273
ES616,274
ES614,275
TR322,276
EL306,277
EL305,280
EL305,281
EL633,284
TR321,285
TR331,286
ES618,287
ES618,288
EL652,289
TRC12,293
TRC22,294
PT184,298
PT184,299
ES615,300
EL306,301
EL306,302
TR632,303
TRB11,304
TR331,305
TRC34,306
TRC34,307
TRC34,308
TR332,309
TRC22,311
TR721,312
TR721,313
PT184,314
PT187,315
PT187,316
EL305,317
TR721,320
ES616,321
TR332,326
TR612,327
TR713,328
TR714,329
TRC22,332
TR334,333
